timestamp,datetime,kh,ph,r2,eq_ml,endpoint_ph,method
1771448026,2026-02-18 21:53,9.25,8.59,0.9985,10.603,4.39,1
1771451057,2026-02-18 22:44,8.99,8.59,0.9982,10.305,4.47,1
1771454666,2026-02-18 23:44,8.99,8.56,0.9982,10.305,4.43,1
1771458274,2026-02-19 00:44,9.01,8.54,0.9988,10.325,4.43,1
1771465494,2026-02-19 02:44,8.96,8.51,0.9984,10.265,4.44,1
1771469092,2026-02-19 03:44,8.95,8.48,0.9982,10.258,4.39,1
1771472670,2026-02-19 04:44,8.92,8.47,0.9986,10.217,4.39,1
1771476253,2026-02-19 05:44,8.69,,,,,
1771476254,2026-02-19 05:44,,8.46,0.9981,9.961,4.47,1
1771479869,2026-02-19 06:44,8.82,8.44,0.9983,10.106,4.39,1
1771483446,2026-02-19 07:44,8.65,,,,,
1771483447,2026-02-19 07:44,,8.43,0.9985,9.906,4.39,1
1771487048,2026-02-19 08:44,8.84,8.41,0.9984,10.128,4.38,1
1771490660,2026-02-19 09:44,8.84,8.39,0.9982,10.132,4.38,1
1771494238,2026-02-19 10:43,8.82,8.37,0.9981,10.102,4.37,1
1771497844,2026-02-19 11:44,8.64,,,,,
1771497845,2026-02-19 11:44,,8.38,0.9985,9.896,4.38,1
1771501423,2026-02-19 12:43,8.45,8.41,0.9978,9.686,4.40,1
1771505031,2026-02-19 13:43,8.53,8.45,0.9982,9.774,4.37,1
1771508624,2026-02-19 14:43,8.28,8.48,,,,
1771508625,2026-02-19 14:43,,,0.9985,9.491,4.43,1
1771512247,2026-02-19 15:44,8.49,8.50,0.9980,9.725,4.37,1
1771515830,2026-02-19 16:43,8.20,,,,,
1771515831,2026-02-19 16:43,,8.53,0.9980,9.398,4.39,1
